ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
SAP.DE,SAP,DE,Technology,142.52,25.68,166470565888,Large,23.373772,35.6,161.83,210.03,6,2,0.000,34
SIE.DE,Siemens,DE,Industrials,237.3,71.01,180998995968,Large,23.635458,61.1,231.07,233.99,6,2,0.000,41
ALV.DE,Allianz,DE,Financials,382.9,76.25,145594744832,Large,13.843095,68.5,366.99,363.24,0,6,0.000,62
DTE.DE,Deutsche Telekom,DE,Communication,28.76,78.97,139141529600,Large,14.598985,29.8,31.93,29.77,2,9,0.000,64
AIR.DE,Airbus,DE,Industrials,172.6,72.08,135875518464,Large,26.191198,51.9,177.76,190.49,5,2,0.000,39
MBG.DE,Mercedes-Benz,DE,Consumer Cyclical,54.97,-12.36,48639700992,Large,10.294007,55.9,55.64,55.34,0,4,0.000,60
BMW.DE,BMW,DE,Consumer Cyclical,82.86,-4.99,50306646016,Large,6.968881,56.0,83.70,85.84,9,2,0.000,42
VOW3.DE,Volkswagen,DE,Consumer Cyclical,90.28,-61.44,45256937472,Large,6.7930775,51.1,94.37,96.52,4,2,0.000,49
BAS.DE,BASF,DE,Materials,53.81,-24.17,47585542144,Large,33.63125,64.5,49.35,45.33,2,7,0.000,60
MUV2.DE,Munich Re,DE,Financials,559.4,113.67,71581884416,Large,11.864264,64.6,535.84,543.76,3,2,0.000,51
IFX.DE,Infineon Technologies,DE,Technology,44.29,24.85,57671770112,Large,57.51948,62.2,41.73,37.30,0,5,0.000,51
DB1.DE,Deutsche Boerse,DE,Financials,253.8,70.97,46496456704,Large,23.360958,63.5,233.41,233.53,5,2,0.000,49
ADS.DE,Adidas,DE,Consumer Cyclical,137.35,-50.52,24358877184,Large,18.386883,47.7,144.92,166.94,4,4,0.000,45
DHL.DE,DHL Group,DE,Industrials,48.76,1.35,54574301184,Large,16.039473,61.0,47.48,43.21,0,6,0.000,63
RWE.DE,RWE,DE,Utilities,58.76,72.87,41929064448,Large,13.665115,60.4,54.92,44.28,2,8,0.000,69
HEN3.DE,Henkel,DE,Consumer Defensive,65.8,-32.80,26785482752,Large,13.373984,34.8,74.09,71.38,1,4,0.000,54
DTG.DE,Daimler Truck,DE,Industrials,43.63,55.82,33403146240,Large,18.725323,57.1,42.30,39.32,3,6,0.000,58
FRE.DE,Fresenius,DE,Healthcare,44.56,15.55,25097852928,Large,16.382353,43.4,47.55,46.83,2,6,0.000,54
SHL.DE,Siemens Healthineers,DE,Healthcare,38.22,-18.16,42684248064,Large,20.222223,52.4,39.44,44.34,5,2,0.000,40
HNR1.DE,Hannover Re,DE,Financials,272.8,73.87,32898897920,Large,12.45662,62.0,256.09,255.37,2,5,0.000,59
VNA.DE,Vonovia,DE,Real Estate,23.29,-49.18,19756005376,Large,7.2105265,50.5,24.62,26.07,4,2,0.000,47
MTX.DE,MTU Aero Engines,DE,Industrials,335.3,69.17,18049658880,Large,17.74074,52.6,351.12,366.60,4,2,0.000,44
SY1.DE,Symrise,DE,Materials,73.64,-32.38,10292813824,Large,41.37079,53.0,73.33,76.09,3,2,0.000,42
BEI.DE,Beiersdorf,DE,Consumer Defensive,75.84,-16.35,16572840960,Large,17.844706,39.1,88.69,94.87,5,4,0.000,42
ENR.DE,Siemens Energy,DE,Industrials,169.72,461.80,145169022976,Large,78.57407,62.2,155.85,118.66,0,7,0.000,61
CBK.DE,Commerzbank,DE,Financials,35.25,604.30,38652452864,Large,14.748953,62.1,32.95,32.79,0,5,0.000,59
CON.DE,Continental,DE,Consumer Cyclical,64.76,-36.53,12952387584,Large,,53.8,66.51,67.04,4,2,0.000,43
MRK.DE,Merck KGaA,DE,Healthcare,116.5,-21.12,50651623424,Large,19.416666,59.3,116.51,115.16,0,4,0.000,55
PAH3.DE,Porsche Auto Holding,DE,Consumer Cyclical,32.67,-65.57,10005186560,Large,3.7768786,51.4,33.79,35.60,4,4,0.000,53
QIA.DE,Qiagen,DE,Healthcare,35.755,-25.71,7368202752,Mid,20.431429,46.8,38.65,41.60,4,4,0.000,47
ZAL.DE,Zalando,DE,Consumer Cyclical,22.06,-74.70,5694891008,Mid,26.90244,54.4,21.29,24.17,3,2,0.000,41
EOAN.DE,E.ON,DE,Utilities,19.51,99.33,51004690432,Large,29.560606,55.0,18.90,16.69,0,7,0.000,63
P911.DE,Porsche AG,DE,Consumer Cyclical,43.27,-47.80,39400751104,Large,92.02128,73.6,39.56,43.09,10,2,0.000,31
RHM.DE,Rheinmetall,DE,Industrials,1485.6,1580.54,68781129728,Large,66.71454,45.1,1589.38,1702.44,5,2,0.000,28
1COV.DE,Covestro,DE,Materials,59.98,0.30,11320645632,Large,,,,,0,1,0.000,52
DBK.DE,Deutsche Bank,DE,Financials,28.35,172.39,54986903552,Large,9.174758,59.9,28.29,29.85,4,2,0.000,47
HEI.DE,HeidelbergCement,DE,Materials,190.45,142.30,33513207808,Large,17.050135,57.0,188.60,202.83,4,2,0.000,44
FME.DE,Fresenius Medical Care,DE,Healthcare,39.74,-37.06,11518597120,Large,11.827382,53.9,39.57,41.97,3,2,0.000,50
BNR.DE,Brenntag,DE,Industrials,56.78,-23.62,8198201344,Mid,31.02732,58.7,53.37,51.98,0,5,0.000,57
