ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
MC.PA,LVMH,FR,Consumer Cyclical,475.1,-20.12,235586568192,Large,21.743708,45.1,504.48,543.71,5,4,0.000,42
OR.PA,L'Oreal,FR,Consumer Defensive,355.75,4.62,189946691584,Large,31.078604,46.4,372.21,375.15,4,4,0.000,45
SAN.PA,Sanofi,FR,Healthcare,79.63,-4.76,95824486400,Large,19.764267,48.6,79.48,82.51,5,0,0.000,41
AI.PA,Air Liquide,FR,Materials,187.19,60.07,108008185856,Large,30.83855,74.0,172.13,170.17,7,7,0.000,51
TTE.PA,TotalEnergies,FR,Energy,79.3,109.37,169203515392,Large,16.052631,62.2,70.32,58.09,2,6,0.000,69
SU.PA,Schneider Electric,FR,Industrials,259.55,94.07,145837883392,Large,32.4781,58.9,251.98,237.29,2,5,0.000,52
BNP.PA,BNP Paribas,FR,Financials,89.06,72.46,98108547072,Large,8.6550045,56.1,88.91,80.22,2,5,0.000,59
RMS.PA,Hermes,FR,Consumer Cyclical,1727,72.98,181051031552,Large,40.106827,44.0,1902.67,2092.54,5,2,0.000,34
DG.PA,Vinci,FR,Industrials,134.25,47.72,74316857344,Large,15.520232,56.7,131.91,123.12,0,6,0.000,64
KER.PA,Kering,FR,Consumer Cyclical,269.15,-57.06,33003118592,Large,,55.2,263.87,267.18,3,2,0.000,41
ACA.PA,Credit Agricole,FR,Financials,16.945,35.37,51263672320,Large,7.7729354,52.6,17.35,16.78,0,4,0.000,59
CS.PA,AXA,FR,Financials,41.13,73.51,84578590720,Large,12.032164,65.8,39.09,39.82,5,2,0.000,48
CAP.PA,Capgemini,FR,Technology,99.14,-35.41,16583519232,Large,10.858707,42.4,105.79,125.52,6,2,0.000,39
RI.PA,Pernod Ricard,FR,Consumer Defensive,65.26,-61.38,16433549312,Large,11.653572,43.7,73.16,82.53,4,2,0.000,44
DSY.PA,Dassault Systemes,FR,Technology,16.87,-55.81,22158292992,Large,18.75,39.4,18.43,24.51,5,2,0.000,36
SGO.PA,Saint-Gobain,FR,Industrials,75.26,42.78,37119492096,Large,13.027681,52.9,79.10,87.53,6,2,0.000,41
ORA.PA,Orange,FR,Communication,17.845,74.37,47428431872,Large,148.70833,58.9,17.33,14.75,2,7,0.000,54
BN.PA,Danone,FR,Consumer Defensive,67.96,14.47,43506155520,Large,24.09929,41.1,70.30,72.92,4,2,0.000,43
EN.PA,Bouygues,FR,Industrials,51.98,50.41,20010516480,Large,17.384615,59.5,49.86,42.76,0,7,0.000,68
GLE.PA,Societe Generale,FR,Financials,70.06,217.37,51117457408,Large,10.3,56.8,69.11,60.93,2,5,0.000,59
VIE.PA,Veolia,FR,Utilities,34.73,47.32,25407342592,Large,20.42941,63.9,33.18,30.44,2,7,0.000,62
VIV.PA,Vivendi,FR,Communication,2.05,-82.19,2042152448,Mid,102.5,58.2,2.04,2.65,3,2,0.000,30
LR.PA,Legrand,FR,Industrials,146.85,77.23,38390366208,Large,31.244684,59.8,141.74,134.01,2,6,0.000,54
ML.PA,Michelin,FR,Consumer Cyclical,30.04,-3.99,21420460032,Large,2.9326174,49.0,31.41,30.32,0,6,0.000,63
PUB.PA,Publicis,FR,Communication,73.68,41.47,18336094208,Large,11.300613,52.5,74.08,81.76,5,2,0.000,44
TEP.PA,Teleperformance,FR,Industrials,49.45,-85.10,2874612736,Mid,5.886905,46.6,51.37,62.70,4,2,0.000,45
SAF.PA,Safran,FR,Industrials,306.7,163.35,127391809536,Large,17.86255,52.9,311.54,298.94,2,4,0.000,52
EL.PA,EssilorLuxottica,FR,Healthcare,196.55,46.02,90503643136,Large,39.467873,40.0,221.11,262.32,5,4,0.000,35
ERF.PA,Eurofins Scientific,FR,Healthcare,63.32,-27.16,11081716736,Large,24.831373,47.2,64.92,63.59,0,4,0.000,53
