ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
0700.HK,Tencent,HK,Technology,512,-23.18,4618849353728,Large,20.20521,31.0,584.28,582.05,3,2,0.000,46
9988.HK,Alibaba Group,HK,Technology,135.1,-41.87,2580225982464,Large,18.13423,28.9,154.35,140.92,2,9,0.000,64
0939.HK,China Construction Bank,HK,Financials,7.93,23.91,2125619003392,Large,5.358108,49.3,7.81,7.78,2,4,0.000,61
1398.HK,ICBC,HK,Financials,6.43,21.78,2873105055744,Large,5.690265,50.8,6.32,6.11,2,8,0.000,69
0941.HK,China Mobile,HK,Communication,78.65,39.82,1721739247616,Large,10.528782,44.5,80.40,85.18,5,4,0.000,50
2318.HK,Ping An Insurance,HK,Financials,65.9,-32.96,1276381233152,Large,7.566016,39.4,69.06,57.63,2,3,0.000,61
3690.HK,Meituan,HK,Technology,75.7,-79.68,462289862656,Large,14.176029,25.5,95.22,109.98,8,5,0.000,42
0005.HK,HSBC Holdings,HK,Financials,136.2,194.49,2338000207872,Large,18.355795,50.0,130.93,108.85,2,4,0.000,64
1299.HK,AIA Group,HK,Financials,84.6,-14.80,885049589760,Large,19.359268,49.2,84.47,75.78,2,3,0.000,55
9618.HK,JD.com,HK,Technology,100.5,-73.40,310174515200,Large,8.298926,31.9,111.02,122.43,7,0,0.000,42
9999.HK,NetEase,HK,Technology,179.3,2.87,577788641280,Large,15.029338,36.1,204.19,211.52,7,2,0.000,41
0388.HK,Hong Kong Exchanges,HK,Financials,409.6,-17.75,517696454656,Large,33.656532,43.7,419.08,422.43,6,0,0.000,38
2020.HK,ANTA Sports,HK,Consumer Cyclical,80.55,-36.77,223163744256,Large,13.583475,44.3,81.38,88.19,6,0,0.000,41
0027.HK,Galaxy Entertainment,HK,Consumer Cyclical,39.34,-47.19,172279332864,Large,17.96347,37.6,40.55,38.79,2,2,0.000,53
1810.HK,Xiaomi,HK,Technology,31.62,19.55,820322828288,Large,19.280489,28.9,36.95,47.61,8,8,0.000,47
0016.HK,Sun Hung Kai Properties,HK,Real Estate,142.3,18.58,412354150400,Large,21.366367,70.6,116.06,98.39,4,8,0.000,70
0002.HK,CLP Holdings,HK,Utilities,74.6,0.47,188473212928,Large,16.504425,49.8,72.95,68.09,2,5,0.000,60
0003.HK,Hong Kong & China Gas,HK,Utilities,7.69,-29.17,143494414336,Large,25.633333,59.1,7.33,7.09,2,4,0.000,56
0011.HK,Hang Seng Bank,HK,Financials,154.3,2.94,0,Small,,70.8,153.24,128.25,4,4,0.000,61
0066.HK,MTR Corporation,HK,Industrials,36.5,-21.34,226852765696,Large,12.989325,59.5,33.28,29.33,2,5,0.000,64
0883.HK,CNOOC,HK,Energy,27.64,201.75,1364345880576,Large,9.369492,71.6,22.91,20.21,7,9,0.000,75
1038.HK,CK Infrastructure,HK,Utilities,65.95,47.87,166168330240,Large,19.340174,60.0,61.64,54.91,2,5,0.000,61
0006.HK,Power Assets Holdings,HK,Utilities,63,46.00,134259621888,Large,21.799307,63.3,58.70,52.92,2,6,0.000,63
0012.HK,Henderson Land,HK,Real Estate,34.62,1.52,167608811520,Large,27.919353,63.1,31.24,28.35,0,8,0.000,68
0017.HK,New World Development,HK,Real Estate,9.48,-75.25,23857367040,Large,,43.2,9.24,7.24,2,4,0.000,60
1113.HK,CK Asset Holdings,HK,Real Estate,48.02,4.62,168059355136,Large,14.775385,59.5,43.94,38.50,2,6,0.000,65
0288.HK,WH Group,HK,Consumer Defensive,9.84,40.57,126249361408,Large,10.040816,58.6,9.17,8.22,2,5,0.000,64
2269.HK,WuXi Biologics,HK,Healthcare,36.96,-63.91,152575082496,Large,33,43.7,37.15,32.97,2,3,0.000,53
9626.HK,Bilibili,HK,Communication,212.2,-73.14,86483599360,Large,103.5122,34.9,231.06,199.24,2,2,0.000,43
0241.HK,Alibaba Health,HK,Healthcare,5.17,-81.99,83364552704,Large,36.928574,27.2,6.00,5.57,2,9,0.000,58
