ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
RELIANCE.NS,Reliance Industries,IN,Energy,1257.5,-1.30,0,Small,22.84702,37.1,1301.20,1382.71,7,0,0.000,38
HDFCBANK.NS,HDFC Bank,IN,Financials,708.25,2.08,10917006802944,Large,15.491032,43.9,746.17,831.15,5,2,0.000,47
ICICIBANK.NS,ICICI Bank,IN,Financials,1379.3,-0.38,9900202655744,Large,17.822718,37.1,1424.43,1356.28,2,2,0.000,54
SBIN.NS,State Bank of India,IN,Financials,995.7,-1.39,9190925926400,Large,10.649198,35.4,1038.49,1041.15,6,0,0.000,45
KOTAKBANK.NS,Kotak Mahindra Bank,IN,Financials,419,0.59,4168067842048,Large,20.39922,59.8,396.75,400.54,5,1,0.000,49
AXISBANK.NS,Axis Bank,IN,Financials,1246,0.00,3879329071104,Large,14.025214,47.4,1261.82,1288.37,6,2,0.000,47
BAJFINANCE.NS,Bajaj Finance,IN,Financials,1034.5,-0.86,6435534536704,Large,31.772112,38.1,1067.35,977.74,2,4,0.000,56
TCS.NS,Tata Consultancy Services,IN,Technology,2200.8,-0.15,0,Small,16.001163,38.1,2288.35,2574.25,6,2,0.000,46
INFY.NS,Infosys,IN,Technology,1037.7,0.12,4202995384320,Large,13.511718,32.6,1113.57,1294.53,6,2,0.000,43
HCLTECH.NS,HCL Technologies,IN,Technology,1206.1,-0.07,3263425150976,Large,19.141407,32.8,1282.03,1374.19,6,0,0.000,43
WIPRO.NS,Wipro,IN,Technology,167.4,0.66,1656093147136,Large,13.296267,32.7,178.75,206.83,7,2,0.000,44
TECHM.NS,Tech Mahindra,IN,Technology,1541,1.00,1365169012736,Large,26.647068,41.5,1577.26,1517.80,2,2,0.000,54
HINDUNILVR.NS,Hindustan Unilever,IN,Consumer Defensive,1927,-0.79,4527662563328,Large,42.7652,30.7,2074.02,2217.07,7,0,0.000,32
ITC.NS,ITC,IN,Consumer Defensive,259.85,0.21,3255863869440,Large,16.508896,36.0,275.90,311.30,7,0,0.000,38
NESTLEIND.NS,Nestle India,IN,Consumer Defensive,1383.3,-0.21,2667437359104,Large,69.793144,32.9,1463.29,1356.77,2,2,0.000,43
TITAN.NS,Titan Company,IN,Consumer Cyclical,5009.5,-0.23,4444991258624,Large,76.98632,51.1,4897.65,4348.82,2,6,0.000,52
MARUTI.NS,Maruti Suzuki,IN,Consumer Cyclical,12400,-1.51,3898591674368,Large,27.207302,23.4,13613.28,14200.95,7,5,0.000,48
M&M.NS,Mahindra & Mahindra,IN,Consumer Cyclical,3107,-0.54,3730768396288,Large,18.909378,29.7,3277.86,3317.12,6,5,0.000,51
LT.NS,Larsen & Toubro,IN,Industrials,3930.7,-0.61,5408116703232,Large,32.584763,41.2,3965.49,3982.38,6,0,0.000,40
ADANIENT.NS,Adani Enterprises,IN,Industrials,3060,-0.56,4354298609664,Large,53.180397,54.4,3049.14,2531.70,0,5,0.000,57
ADANIPORTS.NS,Adani Ports,IN,Industrials,1764.6,-0.19,4065566130176,Large,30.153793,58.7,1739.04,1613.37,2,5,0.000,56
NTPC.NS,NTPC,IN,Utilities,333.4,-0.48,3232868597760,Large,10.195718,44.6,341.20,358.34,4,2,0.000,49
POWERGRID.NS,Power Grid Corp,IN,Utilities,269.1,-0.98,2502792577024,Large,12.894106,48.5,275.91,284.63,4,2,0.000,50
ONGC.NS,ONGC,IN,Energy,232.5,-2.01,2924914933760,Large,6.721596,41.5,240.36,257.45,7,4,0.000,54
COALINDIA.NS,Coal India,IN,Energy,426.4,-1.30,2627787292672,Large,8.415236,60.8,417.39,431.19,5,2,0.000,47
SUNPHARMA.NS,Sun Pharmaceutical,IN,Healthcare,1840,-1.13,4414776016896,Large,36.544193,34.0,1929.13,1805.93,2,2,0.000,48
DRREDDY.NS,Dr. Reddy's Labs,IN,Healthcare,1165.5,1.97,970847748096,Large,29.387293,47.7,1191.53,1252.43,4,5,0.000,53
CIPLA.NS,Cipla,IN,Healthcare,1366,-0.53,1103534620672,Large,32.508327,34.0,1432.30,1389.02,2,2,0.000,54
APOLLOHOSP.NS,Apollo Hospitals,IN,Healthcare,8836,-0.72,1270481158144,Large,60.908524,51.4,8840.09,7928.95,0,5,0.000,51
TATASTEEL.NS,Tata Steel,IN,Materials,183,-2.02,2282799759360,Large,20.724802,43.8,186.66,193.27,4,4,0.000,51
