ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
7203.T,Toyota Motor,JP,Consumer Cyclical,3162,83.50,41211561771008,Large,11.132627,35.2,3548.98,3085.04,2,2,0.000,55
6758.T,Sony Group,JP,Technology,3209,38.38,19063210246144,Large,15.533934,39.1,3440.22,3915.37,7,2,0.000,40
6861.T,Keyence,JP,Technology,54860,9.13,13304932073472,Large,32.591713,37.2,59181.60,57325.25,2,3,0.000,48
8306.T,Mitsubishi UFJ Financial,JP,Financials,2600,339.41,29347752706048,Large,15.451358,42.0,2807.34,2401.15,2,4,0.000,57
6902.T,Denso,JP,Consumer Cyclical,1947.5,6.03,5237653897216,Large,15.324992,42.9,2102.94,2097.65,0,5,0.000,61
9984.T,SoftBank Group,JP,Technology,3555,52.41,20259104882688,Large,6.6452327,43.0,4014.36,4041.63,5,4,0.000,47
9432.T,NTT,JP,Communication,157.2,38.28,12799793168384,Large,12.505966,55.2,154.84,155.69,3,2,0.000,53
6501.T,Hitachi,JP,Technology,4464,346.04,20135182073856,Large,26.687391,33.7,5030.18,4607.56,2,2,0.000,50
7741.T,HOYA,JP,Healthcare,26550,104.15,8976006643712,Large,43.663456,41.9,27166.30,22522.03,2,2,0.000,50
4063.T,Shin-Etsu Chemical,JP,Materials,6259,68.16,11618667724800,Large,24.258749,54.1,5814.36,4977.36,2,7,0.000,66
8035.T,Tokyo Electron,JP,Technology,37230,138.70,17007303983104,Large,31.635298,39.0,41268.00,31399.97,2,2,0.000,56
6098.T,Recruit Holdings,JP,Industrials,6526,20.83,9111689232384,Large,21.937609,46.4,7113.56,8019.28,5,4,0.000,44
9433.T,KDDI,JP,Communication,2723.5,60.44,10368578486272,Large,15.072777,58.4,2668.27,2568.59,0,8,0.000,70
4502.T,Takeda Pharmaceutical,JP,Healthcare,5664,42.13,8946834210816,Large,79.954834,49.2,5550.60,4712.14,2,8,0.000,57
6594.T,Nidec,JP,Industrials,1966,-70.73,2253645152256,Large,18.7363,31.7,2281.78,2465.31,6,0,0.000,38
7267.T,Honda Motor,JP,Consumer Cyclical,1257.5,13.66,4894883315712,Large,10.079352,27.5,1501.93,1543.22,7,5,0.000,45
7974.T,Nintendo,JP,Communication,8775,41.97,10116074045440,Large,27.698864,41.0,9307.38,11881.80,7,0,0.000,31
8058.T,Mitsubishi Corp,JP,Industrials,5317,409.62,19527999946752,Large,30.35337,52.0,4878.68,3746.65,2,4,0.000,65
8316.T,Sumitomo Mitsui Financial,JP,Financials,5006,274.79,19112925331456,Large,13.38789,40.1,5514.12,4520.05,2,4,0.000,58
8766.T,Tokio Marine,JP,Financials,7308,316.41,13727377129472,Large,13.282684,64.8,6218.48,6074.39,0,7,0.000,69
4568.T,Daiichi Sankyo,JP,Healthcare,2766,-14.23,5073173217280,Large,18.49425,40.0,2954.62,3414.91,8,0,0.000,35
6367.T,Daikin Industries,JP,Industrials,18685,-16.29,5471506792448,Large,19.963459,44.2,19383.20,18780.63,2,2,0.000,51
3382.T,Seven & i Holdings,JP,Consumer Defensive,2123.5,42.74,4949405597696,Large,22.49232,51.2,2179.68,2108.93,2,4,0.000,55
6954.T,Fanuc,JP,Industrials,5302,1.24,4947609387008,Large,31.480822,32.2,6326.06,5090.27,2,4,0.000,54
4519.T,Chugai Pharmaceutical,JP,Healthcare,8611,91.82,14171238301696,Large,32.60137,42.3,9073.30,7773.20,2,3,0.000,55
6981.T,Murata Manufacturing,JP,Technology,3409,15.66,6205389930496,Large,33.036144,42.1,3539.98,2910.03,2,3,0.000,52
7751.T,Canon,JP,Technology,4357,74.11,3812135534592,Large,11.870641,39.6,4605.60,4453.70,0,4,0.000,60
8801.T,Mitsui Fudosan,JP,Real Estate,1655.5,97.59,4512605536256,Large,14.702487,31.6,1895.28,1666.05,2,3,0.000,56
4661.T,Oriental Land,JP,Consumer Cyclical,2700,-18.80,4426692034560,Large,34.93789,45.6,2761.00,3123.31,7,0,0.000,33
5108.T,Bridgestone,JP,Consumer Cyclical,3267,46.01,4167013498880,Large,27.43073,37.1,3514.48,3383.50,2,2,0.000,48
6762.T,TDK,JP,Technology,1966,92.37,3731372113920,Large,21.604395,38.4,2146.58,2083.50,2,4,0.000,51
6857.T,Advantest,JP,Technology,20330,740.08,14759873216512,Large,57.150085,35.4,24719.30,17480.83,2,3,0.000,50
9983.T,Fast Retailing (Uniqlo),JP,Consumer Cyclical,61630,109.79,18909918920704,Large,43.675148,39.8,63956.20,54220.00,2,7,0.000,59
7733.T,Olympus,JP,Healthcare,1488.5,-35.03,1638938443776,Large,17.253971,51.1,1617.51,1817.38,7,2,0.000,38
8031.T,Mitsui & Co,JP,Industrials,5959,417.72,16922264469504,Large,18.912659,49.9,5627.12,4155.14,2,5,0.000,67
2802.T,Ajinomoto,JP,Consumer Defensive,4397,288.17,4220622733312,Large,116.322754,49.6,4226.88,3961.68,2,7,0.000,56
6273.T,SMC Corp,JP,Industrials,59870,-6.90,3780135616512,Large,24.214064,38.1,66855.20,55250.35,2,2,0.000,55
4911.T,Shiseido,JP,Consumer Defensive,3190,-57.02,1274520797184,Large,,59.9,2958.00,2592.02,2,8,0.000,65
6971.T,Kyocera,JP,Technology,2378,35.40,3152764469248,Large,76.46302,40.4,2514.07,2099.96,2,3,0.000,45
8002.T,Marubeni,JP,Industrials,5618,510.12,9204421099520,Large,16.30154,51.4,5528.88,4080.41,0,8,0.000,75
