ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
SHEL.L,Shell,UK,Energy,34.34,129.48,193146355712,Large,15.330358,77.8,29.73,27.70,7,9,0.000,69
AZN.L,AstraZeneca,UK,Healthcare,138.96,95.44,215501832192,Large,28.47541,34.8,144.06,126.92,2,2,0.000,54
HSBA.L,HSBC,UK,Financials,11.442,165.57,196114563072,Large,12.856179,33.9,12.63,10.73,2,5,0.000,64
ULVR.L,Unilever,UK,Consumer Defensive,45.955,8.73,100409327616,Large,20.607624,26.2,50.37,48.94,3,10,0.000,65
BP.L,BP,UK,Energy,5.622999999999999,83.34,86425280512,Large,,69.5,4.80,4.37,2,9,0.000,69
GSK.L,GSK,UK,Healthcare,19.505,49.38,78075609088,Large,14.032373,31.9,20.30,17.02,2,5,0.000,66
RIO.L,Rio Tinto,UK,Materials,61.64979,12.68,100226637824,Large,13.609226,31.2,68.39,54.26,2,3,0.000,57
LSEG.L,London Stock Exchange,UK,Financials,86.62,20.01,43311329280,Large,36.548527,56.2,82.97,91.07,5,1,0.000,42
DGE.L,Diageo,UK,Consumer Defensive,14,-53.27,31128330240,Large,17.28395,29.4,16.46,17.86,9,7,0.000,49
REL.L,RELX,UK,Industrials,24.94,39.76,44722548736,Large,22.267857,46.4,25.46,32.40,7,1,0.000,35
BATS.L,BAT,UK,Consumer Defensive,43.11,54.38,93430112256,Large,12.352436,42.7,44.16,41.10,2,3,0.000,60
NG.L,National Grid,UK,Utilities,12.33,46.44,61296238592,Large,20.55,31.3,12.95,11.42,2,4,0.000,66
VOD.L,Vodafone,UK,Communication,1.0795000000000001,-19.40,24949716992,Large,,43.5,1.09,0.93,4,5,0.000,63
LLOY.L,Lloyds Banking,UK,Financials,0.9078,121.28,53279870976,Large,12.968571,33.1,1.01,0.89,2,3,0.000,57
BARC.L,Barclays,UK,Financials,3.739,104.76,51501977600,Large,8.902381,31.1,4.53,4.04,3,3,0.000,54
NWG.L,NatWest,UK,Financials,5.196000000000001,152.08,41463967744,Large,7.7552233,28.5,6.16,5.71,3,10,0.000,71
STAN.L,Standard Chartered,UK,Financials,15.185,209.52,33791010816,Large,10.769505,33.9,17.62,15.39,3,5,0.000,58
RKT.L,Reckitt Benckiser,UK,Consumer Defensive,50.96,-22.52,32843550720,Large,10.421268,21.5,60.87,59.16,3,9,0.000,62
CRH.L,CRH,UK,Materials,75.32000000000001,131.54,50395127808,Large,18.370731,30.4,86.98,83.67,3,4,0.000,49
EXPN.L,Experian,UK,Industrials,26.47,9.15,23930363904,Large,24.063635,42.8,27.55,34.29,7,1,0.000,36
III.L,3i Group,UK,Financials,27.01,134.06,27493158912,Large,4.1617875,30.5,31.87,37.16,8,1,0.000,46
CPG.L,Compass Group,UK,Consumer Cyclical,21.11,42.73,35893362688,Large,25.743904,37.1,22.05,24.27,6,3,0.000,43
AAL.L,Anglo American,UK,Materials,28.67,4.70,30719559680,Large,,30.1,34.07,27.76,2,3,0.000,53
BKG.L,Berkeley Group,UK,Consumer Cyclical,34.980000000000004,-23.27,3292084736,Mid,9.505434,21.9,40.63,38.80,3,9,0.000,64
AHT.L,Ashtead Group,UK,Industrials,53.26,24.27,0,Small,,9.2,50.69,49.62,3,11,0.000,43
SMT.L,Scottish Mortgage,UK,Financials,11.695,4.89,12644272128,Large,3.797078,42.5,12.11,11.26,2,3,0.000,60
GLEN.L,Glencore,UK,Materials,5.2010000000000005,84.43,60931801088,Large,260.05,53.7,5.06,3.76,2,9,0.000,71
RR.L,Rolls-Royce,UK,Industrials,11.61,892.31,96867475456,Large,16.826086,37.0,12.66,11.25,2,3,0.000,55
