ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
AAPL,Apple,US,Technology,272.36,104.61,4002685911040,Large,34.515842,66.0,260.49,252.44,0,5,-0.165,56
MSFT,Microsoft,US,Technology,416.985,61.46,3098186874880,Large,26.085733,66.5,392.73,471.59,5,2,0.317,45
GOOGL,Alphabet,US,Technology,338.75,197.28,4096891289600,Large,31.358334,69.5,308.02,273.32,2,6,-0.195,58
AMZN,Amazon,US,Technology,246.26,47.70,2648127045632,Large,34.343098,70.3,214.72,225.72,10,4,0.294,41
NVDA,NVIDIA,US,Technology,198.85,1210.72,4832684933120,Large,40.57857,66.5,183.84,181.98,2,5,-0.085,53
META,Meta Platforms,US,Technology,672.69,122.27,1707546509312,Large,28.649063,63.5,629.90,681.05,5,2,0.183,43
TSLA,Tesla,US,Consumer Cyclical,391.885,63.52,1469699981312,Large,362.6537,56.1,390.23,399.25,5,2,0.024,30
AVGO,Broadcom,US,Technology,397.914,770.21,1885367435264,Large,77.666016,72.8,335.18,333.86,7,7,0.403,50
ORCL,Oracle,US,Technology,174.775,120.56,502561701888,Large,31.371721,66.7,152.33,215.10,5,2,0.088,36
CRM,Salesforce,US,Technology,185.08,-18.81,170782687232,Large,23.721794,51.2,187.91,232.33,5,2,-0.014,38
AMD,AMD,US,Technology,274.795,246.66,447939084288,Large,104.862595,76.8,213.78,203.13,7,8,0.096,50
INTC,Intel,US,Technology,65.82,4.98,330332274688,Large,,70.5,49.34,37.50,7,7,0.164,53
NFLX,Netflix,US,Communication,93.936,70.93,396735447040,Large,30.409386,42.8,92.22,105.70,5,1,-0.216,40
ADBE,Adobe,US,Technology,247.41,-51.89,100800462848,Large,14.410256,50.8,253.61,319.88,4,4,0.263,46
CSCO,Cisco,US,Technology,87.495,68.94,345641746432,Large,31.467627,70.2,80.19,74.11,7,7,0.100,55
QCOM,Qualcomm,US,Technology,138.03,3.47,147422265344,Large,27.828629,64.2,134.64,156.98,3,2,-0.110,41
INTU,Intuit,US,Technology,395.99,-2.31,110235467776,Large,25.75682,45.3,415.87,605.25,5,2,0.139,38
AMAT,Applied Materials,US,Technology,394.925,207.12,313265586176,Large,40.444157,62.3,360.17,260.30,2,7,-0.064,66
PANW,Palo Alto Networks,US,Technology,168.115,180.19,137181847552,Large,93.397224,55.0,160.57,185.80,3,2,-0.245,39
SNPS,Synopsys,US,Technology,457.325,82.81,87606108160,Large,70.14188,66.0,423.28,482.79,5,2,0.415,35
NOW,ServiceNow,US,Technology,98.78,-8.67,103292502016,Large,59.131737,47.3,105.53,154.73,5,2,0.180,26
UBER,Uber,US,Technology,75.95,36.90,156293332992,Large,16.054968,56.5,73.43,86.07,5,2,0.192,44
SHOP,Shopify,US,Technology,132.649,18.12,172406816768,Large,140.97873,62.4,121.22,141.53,6,2,0.576,32
SNOW,Snowflake,US,Technology,148.255,-34.17,51251757056,Large,,46.4,163.79,210.39,5,2,-0.205,30
PLTR,Palantir,US,Technology,144.71,564.42,345884131328,Large,229.55554,50.6,143.74,164.29,3,2,0.144,33
NET,Cloudflare,US,Technology,202.13,179.22,71145775104,Large,,51.7,195.83,202.18,5,0,-0.072,37
CRWD,CrowdStrike,US,Technology,426.51,106.44,108212158464,Large,,56.5,406.33,459.29,3,3,0.092,44
DDOG,Datadog,US,Technology,127.215,51.52,45015195648,Large,424.04996,58.9,119.84,138.57,3,3,-0.129,35
MDB,MongoDB,US,Technology,262.55,-11.79,21375096832,Large,,52.1,283.13,314.70,5,2,-0.183,33
JPM,JPMorgan Chase,US,Financials,315.585,111.42,851021660160,Large,15.11207,65.8,299.48,303.78,3,3,0.309,55
BAC,Bank of America,US,Financials,53.685,40.98,383581650944,Large,13.353234,66.2,50.62,51.17,5,3,0.455,53
WFC,Wells Fargo,US,Financials,81.945,92.63,251931049984,Large,12.663061,50.9,82.42,84.48,4,3,-0.087,48
GS,Goldman Sachs,US,Financials,931.98,180.82,276567785472,Large,17.031797,66.7,870.47,821.35,0,6,0.247,64
MS,Morgan Stanley,US,Financials,189.96,145.78,301629931520,Large,17.19095,71.7,169.52,163.62,5,7,0.275,58
V,Visa,US,Financials,313.83,40.55,604980248576,Large,29.462912,55.5,311.85,334.35,5,3,0.176,44
MA,Mastercard,US,Financials,517.645,37.44,461845430272,Large,31.30732,56.4,511.04,550.63,5,3,0.096,43
AXP,American Express,US,Financials,331.68,128.59,227712090112,Large,21.549381,65.4,317.40,335.97,3,3,0.250,50
BLK,BlackRock,US,Financials,1053.81,30.91,163911237632,Large,26.497612,62.4,1013.98,1083.35,3,3,-0.033,46
SCHW,Charles Schwab,US,Financials,93.02,46.05,162964324352,Large,18.490059,45.5,95.04,95.91,6,3,-0.235,42
JNJ,Johnson & Johnson,US,Healthcare,233.59,40.31,562928287744,Large,21.177698,38.0,241.23,203.12,2,2,0.461,57
UNH,UnitedHealth,US,Healthcare,321.72,-18.87,291953016832,Large,24.29373,69.9,287.39,312.69,5,2,0.350,44
PFE,Pfizer,US,Healthcare,27.78,-28.82,157985570816,Large,20.421692,55.6,27.25,25.62,2,4,0.308,58
ABBV,AbbVie,US,Healthcare,205.949,88.89,364135088128,Large,86.49999,40.6,218.84,217.40,0,6,0.200,48
MRK,Merck,US,Healthcare,118.625,58.23,293287493632,Large,16.294641,49.5,119.11,98.59,2,2,0.326,59
LLY,Eli Lilly,US,Healthcare,929.325,387.55,832009404416,Large,40.43497,47.3,971.52,906.11,0,4,0.110,51
TMO,Thermo Fisher,US,Healthcare,526.59,9.17,195692118016,Large,29.667044,60.5,502.93,524.22,3,3,0.282,47
ABT,Abbott Labs,US,Healthcare,96.86,-19.28,168364097536,Large,27.140057,30.8,107.74,122.40,8,2,-0.112,32
AMGN,Amgen,US,Healthcare,351.78,35.75,189611655168,Large,24.683508,48.1,363.29,322.83,0,6,0.453,64
GILD,Gilead Sciences,US,Healthcare,136.55,105.71,169486368768,Large,20.110456,40.2,144.23,125.92,2,4,0.314,58
WMT,Walmart,US,Consumer Defensive,128.44,173.68,1024134021120,Large,47.05491,58.3,125.64,110.87,0,6,0.324,58
PG,Procter & Gamble,US,Consumer Defensive,145.555,5.67,340134920192,Large,21.59644,48.0,151.84,151.16,0,6,0.176,60
KO,Coca-Cola,US,Consumer Defensive,76.055,40.40,327373881344,Large,25.019737,47.9,77.49,71.65,2,4,0.054,54
PEP,PepsiCo,US,Consumer Defensive,157.51,8.10,215289085952,Large,24.724804,52.6,159.89,149.04,5,6,0.211,53
COST,Costco,US,Consumer Defensive,1005.265,170.43,446368382976,Large,52.37656,54.3,995.21,949.27,2,3,0.192,46
MCD,McDonald's,US,Consumer Cyclical,308.72,32.49,219482243072,Large,25.816889,46.3,319.60,309.57,0,6,-0.326,56
NKE,Nike,US,Consumer Cyclical,46.085,-63.74,68231872512,Large,30.3125,38.9,54.72,65.33,5,2,0.008,34
SBUX,Starbucks,US,Consumer Cyclical,99.495,-14.43,113354653696,Large,82.9125,61.4,96.16,89.81,2,5,0.024,46
